date,CO,NO2,SO2,O3
2025-08-30T00:00:00.000Z,,,,0.11845691
2025-08-31T00:00:00.000Z,,0.00003,-0.0003,0.122804262
2025-09-01T00:00:00.000Z,0.02711704,0.00003,0.0000,0.121703181
2025-09-02T00:00:00.000Z,0.022874656,0.00003,0.0000,0.118958898
2025-09-03T00:00:00.000Z,0.026162612,0.00004,0.0000,0.119883115
2025-09-04T00:00:00.000Z,0.029209304,0.00004,0.0001,0.12054681
2025-09-05T00:00:00.000Z,0.031457502,0.00005,0.0001,0.120958505
2025-09-06T00:00:00.000Z,0.029946831,0.00002,0.0001,0.120513052
2025-09-07T00:00:00.000Z,0.034199847,0.00008,0.0001,
2025-09-08T00:00:00.000Z,0.036154546,0.00003,-0.0004,0.113502722
2025-09-09T00:00:00.000Z,0.02606035,0.00008,0.0000,0.114719838
2025-09-10T00:00:00.000Z,0.027068083,,0.0000,0.118054263
2025-09-11T00:00:00.000Z,,,-0.0004,0.113941856
2025-09-12T00:00:00.000Z,0.028878521,0.00003,-0.0001,0.115501042
2025-09-13T00:00:00.000Z,0.030711954,0.00005,-0.0001,0.115880256
2025-09-14T00:00:00.000Z,0.029466812,0.00005,0.0000,0.116956679
2025-09-15T00:00:00.000Z,0.030077924,0.00005,0.0000,0.11330158
2025-09-16T00:00:00.000Z,,,,0.117765615
2025-09-17T00:00:00.000Z,0.030322885,,,0.114860037
2025-09-18T00:00:00.000Z,,0.00006,0.0000,0.115178014
2025-09-19T00:00:00.000Z,0.02968106,0.00004,0.0000,0.116554751
2025-09-20T00:00:00.000Z,0.026465138,0.00003,,0.114170354
2025-09-21T00:00:00.000Z,0.030952895,0.00005,-0.0001,0.114944207
2025-09-22T00:00:00.000Z,0.027690108,0.00005,0.0006,0.115041389
2025-09-23T00:00:00.000Z,0.035521867,0.00010,0.0001,0.118015022
2025-09-24T00:00:00.000Z,0.038969502,0.00006,0.0001,0.118807028
2025-09-25T00:00:00.000Z,0.029768623,0.00005,-0.0001,0.117521717
2025-09-26T00:00:00.000Z,0.032672884,0.00003,0.0000,0.117275304
2025-09-27T00:00:00.000Z,0.032292466,0.00004,0.0002,0.117006066
2025-09-28T00:00:00.000Z,0.031922936,0.00004,0.0000,0.117060989
2025-09-29T00:00:00.000Z,0.033803716,0.00004,0.0001,0.116909371
2025-09-30T00:00:00.000Z,,,,0.11688421
2025-10-01T00:00:00.000Z,0.029635052,0.00003,0.0001,0.120396978
2025-10-02T00:00:00.000Z,,0.00005,0.0000,0.120404311
2025-10-03T00:00:00.000Z,0.032497992,0.00006,0.0000,0.121210871
2025-10-04T00:00:00.000Z,0.03563565,0.00008,0.0000,0.119448245
2025-10-05T00:00:00.000Z,,0.00001,-0.0001,0.119279412
2025-10-06T00:00:00.000Z,0.03412205,0.00005,0.0001,0.119610123
2025-10-07T00:00:00.000Z,0.042697184,0.00006,0.0001,0.1219396
2025-10-08T00:00:00.000Z,0.037348979,0.00006,0.0001,0.120200062
2025-10-09T00:00:00.000Z,0.041038318,0.00009,0.0001,0.112010401
2025-10-10T00:00:00.000Z,0.036271931,0.00005,0.0000,0.112160333
2025-10-11T00:00:00.000Z,0.032884767,0.00004,-0.0001,0.111016651
2025-10-12T00:00:00.000Z,0.028042055,0.00007,0.0002,0.11336404
2025-10-13T00:00:00.000Z,0.023927499,0.00003,0.0000,0.11403904
2025-10-14T00:00:00.000Z,0.029004945,0.00005,-0.0001,0.112088812
2025-10-15T00:00:00.000Z,0.025982457,0.00007,0.0002,0.111962317
2025-10-16T00:00:00.000Z,0.030915949,0.00006,0.0000,0.112792846
2025-10-17T00:00:00.000Z,0.030962089,0.00004,0.0001,0.117642214
2025-10-18T00:00:00.000Z,,,0.0001,0.120445237
2025-10-19T00:00:00.000Z,0.033064373,0.00006,-0.0003,0.118355832
2025-10-20T00:00:00.000Z,,,,0.120964785
2025-10-21T00:00:00.000Z,,,,0.116235724
2025-10-22T00:00:00.000Z,,,,0.120821231
2025-10-23T00:00:00.000Z,,,-0.0001,0.115235033
2025-10-24T00:00:00.000Z,,,,0.120276024
2025-10-25T00:00:00.000Z,0.034370504,0.00006,0.0001,0.123395352
2025-10-26T00:00:00.000Z,0.037590637,0.00006,-0.0001,0.122382102
2025-10-27T00:00:00.000Z,,,,0.122729043
2025-10-28T00:00:00.000Z,0.026035863,0.00005,-0.0001,0.121494389
2025-10-29T00:00:00.000Z,,,0.0000,0.116931986
2025-10-30T00:00:00.000Z,,,0.0003,0.120551857
2025-10-31T00:00:00.000Z,0.027491398,0.00004,0.0000,0.12229954
2025-11-01T00:00:00.000Z,0.027219021,0.00003,0.0000,0.118576945
2025-11-02T00:00:00.000Z,0.026025862,0.00004,0.0000,0.114012091
2025-11-03T00:00:00.000Z,,,0.0003,0.114662111
2025-11-04T00:00:00.000Z,0.030046789,0.00005,0.0000,0.118298944
2025-11-05T00:00:00.000Z,0.032552019,,,0.117950638
2025-11-06T00:00:00.000Z,,,,0.11580498
2025-11-07T00:00:00.000Z,,0.00005,-0.0001,0.115202972
2025-11-08T00:00:00.000Z,,,0.0000,0.119262495
2025-11-09T00:00:00.000Z,,,,0.117905254
2025-11-10T00:00:00.000Z,0.030124875,,,0.118012607
2025-11-11T00:00:00.000Z,0.031552728,0.00004,0.0000,0.115950522
2025-11-12T00:00:00.000Z,0.028005193,,,0.118970729
2025-11-13T00:00:00.000Z,,,,0.119302961
2025-11-14T00:00:00.000Z,,,,0.116877222
2025-11-15T00:00:00.000Z,,,,0.117438621
2025-11-16T00:00:00.000Z,0.028652657,,0.0001,0.118066993
2025-11-17T00:00:00.000Z,0.032835462,,,0.119508581
2025-11-18T00:00:00.000Z,,,-0.0002,0.111390093
2025-11-19T00:00:00.000Z,,0.00006,-0.0001,0.11516331
2025-11-20T00:00:00.000Z,,,,0.114231631
2025-11-21T00:00:00.000Z,,,,0.115156569
2025-11-22T00:00:00.000Z,0.030232141,,,0.113900129
2025-11-23T00:00:00.000Z,,0.00005,,0.115329133
2025-11-24T00:00:00.000Z,,,,0.114071776
2025-11-25T00:00:00.000Z,0.024983432,,,0.114278203
2025-11-26T00:00:00.000Z,0.031419472,0.00006,,0.117288016
2025-11-27T00:00:00.000Z,,,,0.117965928
2025-11-28T00:00:00.000Z,0.025226197,,,0.115763894
2025-11-29T00:00:00.000Z,0.02561418,,,0.116984556
2025-11-30T00:00:00.000Z,,0.00007,,0.1164889
2025-12-01T00:00:00.000Z,,,,0.118741427
2025-12-02T00:00:00.000Z,0.02909135,0.00005,,0.116753763
2025-12-03T00:00:00.000Z,,,,0.117186667
2025-12-04T00:00:00.000Z,,,,0.113705754
2025-12-05T00:00:00.000Z,,0.00004,-0.0002,0.113715595
2025-12-06T00:00:00.000Z,,,,0.109523311
2025-12-07T00:00:00.000Z,,,,0.114269727
2025-12-08T00:00:00.000Z,0.029188528,0.00002,0.0000,0.113195363
2025-12-09T00:00:00.000Z,,,,0.113869301
2025-12-10T00:00:00.000Z,0.030535573,,0.0001,0.115255686
2025-12-11T00:00:00.000Z,0.031745434,0.00001,0.0001,0.112808784
2025-12-12T00:00:00.000Z,0.030863608,0.00003,-0.0001,0.114757938
2025-12-13T00:00:00.000Z,0.030184465,0.00001,-0.0001,0.112639458
2025-12-14T00:00:00.000Z,,,,0.113688926
2025-12-15T00:00:00.000Z,0.021616321,0.00003,0.0002,0.115135216
2025-12-16T00:00:00.000Z,,,-0.0001,0.113995448
2025-12-17T00:00:00.000Z,0.026176361,0.00003,0.0000,0.113667323
2025-12-18T00:00:00.000Z,0.02662549,,,0.11315045
2025-12-19T00:00:00.000Z,,,,0.114932283
2025-12-20T00:00:00.000Z,,,,0.114192784
2025-12-21T00:00:00.000Z,,,0.0003,0.113424176
2025-12-22T00:00:00.000Z,0.027028643,0.00005,-0.0001,0.114541568
2025-12-23T00:00:00.000Z,0.027496912,0.00003,-0.0002,0.116282523
2025-12-24T00:00:00.000Z,0.023841491,,0.0001,0.115180567
2025-12-25T00:00:00.000Z,0.029970826,0.00003,0.0001,0.114428177
2025-12-26T00:00:00.000Z,,,,0.1160849
2025-12-27T00:00:00.000Z,,,,0.11575653
2025-12-28T00:00:00.000Z,0.024654854,0.00003,0.0004,0.113493768
2025-12-29T00:00:00.000Z,0.030383088,0.00002,-0.0001,0.114606809
2025-12-30T00:00:00.000Z,,,0.0000,0.113986004
2025-12-31T00:00:00.000Z,,,,0.114750552
